Gender,SSC (%),HSC/Diploma (%),Visual,Aural,Read/Write,Kinesthetic ,Learning_Style
0,98.2,88.0,13,7,10,11,9
0,92.4,93.69,9,10,6,13,5
0,89.2,82.15,7,8,2,10,5
0,94.4,72.0,4,10,5,11,3
1,91.4,85.27,10,9,8,7,10
1,88.0,93.0,16,16,1,16,11
1,84.65,63.69,7,6,4,6,11
1,81.4,94.51,4,13,10,14,3
1,86.9,69.0,6,12,6,15,5
0,77.4,92.4,9,10,6,13,5
0,92.0,95.0,10,13,12,14,3
0,90.8,71.0,10,12,9,6,2
1,83.4,93.49,13,15,4,15,3
1,93.0,74.0,4,5,5,13,5
1,83.0,68.0,9,14,3,14,3
1,92.4,74.77,10,14,7,13,3
1,86.2,81.69,4,9,3,12,5
1,90.8,85.08,11,11,0,5,10
1,88.0,71.54,1,5,2,10,5
1,86.6,77.7,6,14,12,13,3
1,77.66,79.69,9,11,3,14,5
0,80.0,65.0,9,10,3,12,5
1,92.2,80.0,9,10,3,12,5
1,95.0,81.0,13,4,5,15,5
1,78.6,91.33,7,5,2,13,5
1,68.0,85.0,4,5,3,8,5
0,83.0,92.0,4,7,3,9,5
1,83.0,69.0,2,8,3,8,3
1,83.0,85.0,8,5,6,12,5
1,85.0,89.0,7,3,1,4,9
1,78.18,85.33,6,7,1,8,5
1,93.0,97.0,9,15,5,14,3
1,93.0,98.0,0,8,2,8,3
1,90.0,93.0,4,11,4,14,5
1,91.4,96.5,13,7,5,13,13
0,91.6,87.67,13,7,5,14,13
1,90.0,83.0,8,7,6,9,13
1,88.0,81.0,13,4,11,12,13
0,91.4,94.0,9,8,7,14,5
1,93.0,83.0,9,8,7,14,5
1,74.04,83.2,9,11,3,14,5
1,86.67,93.33,11,12,2,13,3
1,84.6,94.17,10,6,7,10,13
1,91.0,94.17,7,8,5,7,13
0,85.0,71.38,11,16,1,15,3
1,71.45,72.65,8,9,6,15,5
0,77.0,84.0,11,11,7,13,10
0,89.8,97.83,11,9,2,9,9
0,91.4,95.6,14,12,6,8,9
1,66.6,82.0,4,8,5,9,3
1,91.0,93.0,10,1,6,6,9
1,92.0,58.83,5,6,3,7,3
1,85.0,92.0,5,9,3,10,5
1,85.0,93.0,9,5,3,8,13
0,91.0,91.0,6,10,4,9,2
1,73.0,89.0,6,14,2,16,5
0,95.8,94.5,1,12,8,9,2
0,73.0,84.0,8,14,12,9,2
0,85.8,81.0,7,6,5,7,3
1,89.0,70.0,5,10,4,13,5
1,88.2,58.83,16,14,12,13,1
1,84.8,51.0,5,12,5,6,0
1,72.2,50.0,5,12,5,8,2
1,78.2,57.17,5,2,4,5,13
1,87.0,56.0,3,3,3,8,12
1,81.0,52.0,6,10,6,10,4
1,91.4,56.0,4,4,2,6,5
1,87.0,48.0,8,12,7,8,2
1,85.0,75.17,1,7,0,11,5
0,83.2,62.0,3,8,8,10,5
0,75.0,86.63,8,15,12,10,0
0,94.2,73.0,8,10,2,9,0
1,83.0,69.0,3,8,2,8,1
1,83.4,90.5,8,14,12,7,2
0,92.4,93.6,9,14,7,12,2
0,92.4,93.17,3,6,2,8,5
1,79.0,92.0,2,4,6,4,8
1,86.0,91.8,13,10,12,13,13
0,84.0,90.17,13,8,12,10,15
0,92.0,76.16,9,12,10,8,0
1,78.6,91.33,5,2,3,10,5
0,92.8,88.6,10,3,5,7,9
0,90.6,96.83,11,4,0,8,9
1,88.4,91.14,2,7,1,10,5
1,82.0,76.0,5,10,8,12,5
0,89.8,95.17,10,14,8,10,0
0,96.6,97.5,11,10,3,12,7
0,90.0,89.5,9,10,6,10,3
0,87.0,92.0,9,10,4,11,3
1,79.79,89.33,9,9,2,13,17
1,89.2,89.8,4,9,7,4,2
1,80.0,70.0,4,10,3,10,4
1,83.0,93.0,12,9,4,12,14
1,84.8,90.83,3,6,1,12,6
1,84.0,80.0,11,3,2,15,6
1,78.0,87.0,6,6,9,11,6
0,85.0,75.54,7,13,7,13,4
0,93.8,92.0,7,8,1,14,6
1,89.4,69.15,5,4,5,2,16
1,82.69,82.83,4,6,4,12,6
0,95.2,81.56,16,5,2,4,9
1,80.0,70.0,14,8,7,4,9
1,81.6,60.0,15,15,14,13,12
1,92.0,67.0,12,10,8,5,9
1,91.6,56.4,5,12,8,9,2
1,91.0,84.0,7,10,12,8,8
